Year,County,GDP,Population,Violent,Property,Human Trafficking,Index Crime Total
2019,Montgomery,143363.0,9172.0,0,17,0,17
2019,Morgan,806552.0,19276.0,9,108,0,117
2019,Murray,1152501.0,40096.0,40,96,0,136
2019,Muscogee,9509253.0,195769.0,1413,8298,0,9711
2019,Newton,2735436.0,111744.0,134,1393,0,1527
2019,Oconee,1469922.0,40280.0,4,156,0,160
2019,Oglethorpe,309720.0,15259.0,41,157,0,198
2019,Paulding,2790141.0,168667.0,351,2063,15,2429
2019,Peach,836091.0,27546.0,149,649,2,800
2019,Pickens,932519.0,32591.0,48,366,0,414
2019,Pierce,367175.0,19465.0,49,497,2,548
2019,Pike,309635.0,18962.0,20,193,0,213
2019,Polk,1156090.0,42613.0,92,865,0,957
2019,Pulaski,275545.0,11137.0,46,198,0,244
2019,Putnam,500909.0,22119.0,59,410,0,469
2019,Quitman,34490.0,2299.0,0,0,0,0
2019,Rabun,513125.0,17137.0,14,208,0,222
2019,Randolph,160093.0,6778.0,0,21,0,21
2019,Richmond,11023594.0,202518.0,738,5176,0,5914
2019,Rockdale,3499199.0,90896.0,148,1116,2,1266
2019,Schley,103244.0,5257.0,12,20,0,32
2019,Screven,285960.0,13966.0,19,100,0,119
2019,Seminole,276774.0,8090.0,13,82,0,95
2019,Spalding,1886397.0,66703.0,286,1231,0,1517
2019,Stephens,860370.0,25925.0,30,407,0,437
2019,Stewart,122876.0,6621.0,3,4,0,7
2019,Sumter,974312.0,29524.0,100,731,0,831
2019,Talbot,121537.0,6195.0,6,7,0,13
2019,Taliaferro,31118.0,1537.0,0,0,0,0
2019,Tattnall,576376.0,25286.0,20,204,0,224
2019,Taylor,196694.0,8020.0,10,51,0,61
2019,Telfair,268693.0,15860.0,0,6,0,6
2019,Terrell,197201.0,8531.0,8,113,0,121
2019,Thomas,1920076.0,44451.0,77,820,0,897
2019,Tift,1732766.0,40644.0,162,759,0,921
2019,Toombs,859188.0,26830.0,75,577,0,652
2019,Towns,341900.0,12037.0,21,105,0,126
2019,Treutlen,91921.0,6901.0,2,6,0,8
2019,Troup,3261226.0,69922.0,64,757,0,821
2019,Turner,198852.0,7985.0,22,77,0,99
2019,Twiggs,251701.0,8120.0,6,48,1,55
2019,Union,703237.0,24511.0,4,110,0,114
2019,Upson,642464.0,26320.0,50,506,0,556
2019,Walker,1327582.0,69761.0,211,1106,0,1317
2019,Walton,2408590.0,94593.0,87,805,0,892
2019,Ware,1272678.0,35734.0,93,539,0,632
2019,Warren,145581.0,5254.0,0,1,0,1
2019,Washington,557973.0,20374.0,30,246,0,276
2019,Wayne,927245.0,29927.0,26,377,0,403
2019,Webster,51294.0,2607.0,0,0,0,0
2019,Wheeler,92673.0,7855.0,0,14,0,14
2019,White,814734.0,30798.0,21,277,0,298
2019,Whitfield,5264271.0,104628.0,245,1200,2,1447
2019,Wilcox,146534.0,8635.0,5,49,0,54
2019,Wilkes,308121.0,9777.0,22,31,0,53
2019,Wilkinson,544186.0,8954.0,21,53,0,74
2019,Worth,330745.0,20247.0,98,332,0,430
2020,Appling,1476101.0,18366.0,9,171,0,180
2020,Atkinson,217418.0,8311.0,23,75,0,98
2020,Bacon,345025.0,11108.0,18,167,0,185
2020,Baker,70281.0,2851.0,0,0,0,0
2020,Baldwin,1177931.0,43794.0,271,1238,0,1509
2020,Banks,355935.0,18082.0,36,327,0,363
2020,Barrow,2049388.0,83975.0,101,1005,0,1106
2020,Bartow,4443774.0,109296.0,201,2073,1,2275
2020,Ben Hill,467663.0,17168.0,85,512,0,597
2020,Berrien,329821.0,18148.0,80,392,0,472
2020,Bibb,7260375.0,157025.0,1447,5370,9,6826
2020,Bleckley,214195.0,12524.0,34,174,0,208
2020,Brantley,231744.0,18043.0,36,368,3,407
2020,Brooks,452124.0,16268.0,42,164,0,206
